      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
    2.9           0.0         0.0176657229        0        0.0176657229      0
    2.91          0.0         0.0174719859        0        0.0174719859      0
    2.92          0.0         0.0172824481        0        0.0172824481      0
    2.93          0.0         0.0170969744        0        0.0170969744      0
    2.94          0.0         0.0169154358        0        0.0169154358      0
    2.95          0.0         0.0167377084        0        0.0167377084      0
    2.96          0.0         0.0165636734        0        0.0165636734      0
    2.97          0.0         0.0163932173        0        0.0163932173      0
    2.98          0.0         0.0162262307        0        0.0162262307      0
    2.99          0.0         0.0160626089        0        0.0160626089      0
    3             0.0         0.0159022513        0        0.0159022513      0
    3.01          0.0         0.0157450612        0        0.0157450612      0
    3.02          0.0         0.0155909458        0        0.0155909458      0
    3.03          0.0         0.0154398159        0        0.0154398159      0
    3.04          0.0         0.0152915856        0        0.0152915856      0
    3.05          0.0         0.0151461722        0        0.0151461722      0
    3.06          0.0         0.0150034963        0        0.0150034963      0
    3.07          0.0         0.0148634814        0        0.0148634814      0
    3.08          0.0         0.0147260538        0        0.0147260538      0
    3.09          0.0         0.0145911424        0        0.0145911424      0
    3.1           0.0         0.0144586789        0        0.0144586789      0
    3.11          0.0         0.0143285972        0        0.0143285972      0
    3.12          0.0         0.0142008338        0        0.0142008338      0
    3.13          0.0         0.0140753272        0        0.0140753272      0
    3.14          0.0         0.0139520182        0        0.0139520182      0
    3.15          0.0         0.0138308496        0        0.0138308496      0
    3.16          0.0         0.0137117662        0        0.0137117662      0
    3.17          0.0         0.0135947147        0        0.0135947147      0
    3.18          0.0         0.0134796435        0        0.0134796435      0
    3.19          0.0         0.0133665029        0        0.0133665029      0
    3.2           0.0         0.0132552446        0        0.0132552446      0
    3.21          0.0         0.0131458222        0        0.0131458222      0
    3.22          0.0         0.0130381905        0        0.0130381905      0
    3.23          0.0         0.0129323061        0        0.0129323061      0
    3.24          0.0         0.0128281266        0        0.0128281266      0
    3.25          0.0         0.0127256113        0        0.0127256113      0
    3.26          0.0         0.0126247207        0        0.0126247207      0
    3.27          0.0         0.0125254165        0        0.0125254165      0
    3.28          0.0         0.0124276615        0        0.0124276615      0
    3.29          0.0         0.0123314197        0        0.0123314197      0
    3.3           0.0         0.0122366565        0        0.0122366565      0
    3.31          0.0         0.0121433378        0        0.0121433378      0
    3.32          0.0         0.0120514311        0        0.0120514311      0
    3.33          0.0         0.0119609044        0        0.0119609044      0
    3.34          0.0         0.011871727         0        0.011871727       0
    3.35          0.0         0.0117838689        0        0.0117838689      0
    3.36          0.0         0.011697301         0        0.011697301       0
    3.37          0.0         0.0116119953        0        0.0116119953      0
    3.38          0.0         0.0115279242        0        0.0115279242      0
    3.39          0.0         0.0114450612        0        0.0114450612      0
    3.4           0.0         0.0113633805        0        0.0113633805      0
    3.41          0.0         0.0112828569        0        0.0112828569      0
    3.42          0.0         0.011203466         0        0.011203466       0
    3.43          0.0         0.0111251841        0        0.0111251841      0
    3.44          0.0         0.0110479881        0        0.0110479881      0
    3.45          0.0         0.0109718556        0        0.0109718556      0
    3.46          0.0         0.0108967648        0        0.0108967648      0
    3.47          0.0         0.0108226945        0        0.0108226945      0
    3.48          0.0         0.0107496239        0        0.0107496239      0
    3.49          0.0         0.0106775331        0        0.0106775331      0
    3.5           0.0         0.0106064024        0        0.0106064024      0
    3.51          0.0         0.0105362128        0        0.0105362128      0
    3.52          0.0         0.0104669457        0        0.0104669457      0
    3.53          0.0         0.0103985831        0        0.0103985831      0
    3.54          0.0         0.0103311074        0        0.0103311074      0
    3.55          0.0         0.0102645015        0        0.0102645015      0
    3.56          0.0         0.0101987486        0        0.0101987486      0
    3.57          0.0         0.0101338324        0        0.0101338324      0
    3.58          0.0         0.0100697371        0        0.0100697371      0
    3.59          0.0         0.0100064473        0        0.0100064473      0
    3.6           0.0         0.0099439478        0        0.0099439478      0
    3.61          0.0         0.009882224         0        0.009882224       0
    3.62          0.0         0.0098212614        0        0.0098212614      0
    3.63          0.0         0.0097610462        0        0.0097610462      0
    3.64          0.0         0.0097015646        0        0.0097015646      0
    3.65          0.0         0.0096428033        0        0.0096428033      0
    3.66          0.0         0.0095847493        0        0.0095847493      0
    3.67          0.0         0.00952739          0        0.00952739        0
    3.68          0.0         0.0094707129        0        0.0094707129      0
    3.69          0.0         0.0094147059        0        0.0094147059      0
    3.7           0.0         0.0093593573        0        0.0093593573      0
    3.71          0.0         0.0093046555        0        0.0093046555      0
    3.72          0.0         0.0092505892        0        0.0092505892      0
    3.73          0.0         0.0091971474        0        0.0091971474      0
    3.74          0.0         0.0091443194        0        0.0091443194      0
    3.75          0.0         0.0090920947        0        0.0090920947      0
    3.76          0.0         0.0090404629        0        0.0090404629      0
    3.77          0.0         0.0089894141        0        0.0089894141      0
    3.78          0.0         0.0089389384        0        0.0089389384      0
    3.79          0.0         0.0088890262        0        0.0088890262      0
    3.8           0.0         0.0088396682        0        0.0088396682      0
    3.81          0.0         0.0087908551        0        0.0087908551      0
    3.82          0.0         0.0087425781        0        0.0087425781      0
    3.83          0.0         0.0086948283        0        0.0086948283      0
    3.84          0.0         0.0086475971        0        0.0086475971      0
    3.85          0.0         0.0086008761        0        0.0086008761      0
    3.86          0.0         0.0085546572        0        0.0085546572      0
    3.87          0.0         0.0085089322        0        0.0085089322      0
    3.88          0.0         0.0084636933        0        0.0084636933      0
    3.89          0.0         0.0084189328        0        0.0084189328      0
    3.9           0.0         0.0083746431        0        0.0083746431      0
    3.91          0.0         0.0083308169        0        0.0083308169      0
    3.92          0.0         0.0082874469        0        0.0082874469      0
    3.93          0.0         0.008244526         0        0.008244526       0
    3.94          0.0         0.0082020473        0        0.0082020473      0
    3.95          0.0         0.008160004         0        0.008160004       0
    3.96          0.0         0.0081183894        0        0.0081183894      0
    3.97          0.0         0.008077197         0        0.008077197       0
    3.98          0.0         0.0080364205        0        0.0080364205      0
    3.99          0.0         0.0079960535        0        0.0079960535      0
    4             0.0         0.0079560899        0        0.0079560899      0
    0.01          0.25        0.9920039465        0        0.9920039465      0
    0.02          0.25        0.9919635795        0        0.9919635795      0
    0.03          0.25        0.991922803         0        0.991922803       0
    0.04          0.25        0.9918816106        0        0.9918816106      0
    0.05          0.25        0.991839996         0        0.991839996       0
    0.06          0.25        0.9917979527        0        0.9917979527      0
    0.07          0.25        0.991755474         0        0.991755474       0
    0.08          0.25        0.9917125531        0        0.9917125531      0
    0.09          0.25        0.9916691831        0        0.9916691831      0
    0.1           0.25        0.9916253569        0        0.9916253569      0
    0.11          0.25        0.9915810672        0        0.9915810672      0
    0.12          0.25        0.9915363067        0        0.9915363067      0
    0.13          0.25        0.9914910678        0        0.9914910678      0
    0.14          0.25        0.9914453428        0        0.9914453428      0
    0.15          0.25        0.9913991239        0        0.9913991239      0
    0.16          0.25        0.9913524029        0        0.9913524029      0
    0.17          0.25        0.9913051717        0        0.9913051717      0
    0.18          0.25        0.9912574219        0        0.9912574219      0
    0.19          0.25        0.9912091449        0        0.9912091449      0
    0.2           0.25        0.9911603318        0        0.9911603318      0
    0.21          0.25        0.9911109738        0        0.9911109738      0
    0.22          0.25        0.9910610616        0        0.9910610616      0
    0.23          0.25        0.9910105859        0        0.9910105859      0
    0.24          0.25        0.9909595371        0        0.9909595371      0
    0.25          0.25        0.9909079053        0        0.9909079053      0
    0.26          0.25        0.9908556806        0        0.9908556806      0
    0.27          0.25        0.9908028526        0        0.9908028526      0
    0.28          0.25        0.9907494108        0        0.9907494108      0
    0.29          0.25        0.9906953445        0        0.9906953445      0
    0.3           0.25        0.9906406427        0        0.9906406427      0
    0.31          0.25        0.9905852941        0        0.9905852941      0
    0.32          0.25        0.9905292871        0        0.9905292871      0
    0.33          0.25        0.99047261          0        0.99047261        0
    0.34          0.25        0.9904152507        0        0.9904152507      0
    0.35          0.25        0.9903571967        0        0.9903571967      0
    0.36          0.25        0.9902984354        0        0.9902984354      0
    0.37          0.25        0.9902389538        0        0.9902389538      0
    0.38          0.25        0.9901787386        0        0.9901787386      0
    0.39          0.25        0.990117776         0        0.990117776       0
    0.4           0.25        0.9900560522        0        0.9900560522      0
    0.41          0.25        0.9899935527        0        0.9899935527      0
    0.42          0.25        0.9899302629        0        0.9899302629      0
    0.43          0.25        0.9898661676        0        0.9898661676      0
    0.44          0.25        0.9898012514        0        0.9898012514      0
    0.45          0.25        0.9897354985        0        0.9897354985      0
    0.46          0.25        0.9896688926        0        0.9896688926      0
    0.47          0.25        0.9896014169        0        0.9896014169      0
    0.48          0.25        0.9895330543        0        0.9895330543      0
    0.49          0.25        0.9894637872        0        0.9894637872      0
    0.5           0.25        0.9893935976        0        0.9893935976      0
    0.51          0.25        0.9893224669        0        0.9893224669      0
    0.52          0.25        0.9892503761        0        0.9892503761      0
    0.53          0.25        0.9891773055        0        0.9891773055      0
    0.54          0.25        0.9891032352        0        0.9891032352      0
    0.55          0.25        0.9890281444        0        0.9890281444      0
    0.56          0.25        0.9889520119        0        0.9889520119      0
    0.57          0.25        0.9888748159        0        0.9888748159      0
    0.58          0.25        0.988796534         0        0.988796534       0
    0.59          0.25        0.9887171431        0        0.9887171431      0
    0.6           0.25        0.9886366195        0        0.9886366195      0
    0.61          0.25        0.9885549388        0        0.9885549388      0
    0.62          0.25        0.9884720758        0        0.9884720758      0
    0.63          0.25        0.9883880047        0        0.9883880047      0
    0.64          0.25        0.988302699         0        0.988302699       0
    0.65          0.25        0.9882161311        0        0.9882161311      0
    0.66          0.25        0.988128273         0        0.988128273       0
    0.67          0.25        0.9880390956        0        0.9880390956      0
    0.68          0.25        0.9879485689        0        0.9879485689      0
    0.69          0.25        0.9878566622        0        0.9878566622      0
    0.7           0.25        0.9877633435        0        0.9877633435      0
    0.71          0.25        0.9876685803        0        0.9876685803      0
    0.72          0.25        0.9875723385        0        0.9875723385      0
    0.73          0.25        0.9874745835        0        0.9874745835      0
    0.74          0.25        0.9873752793        0        0.9873752793      0
    0.75          0.25        0.9872743887        0        0.9872743887      0
    0.76          0.25        0.9871718734        0        0.9871718734      0
    0.77          0.25        0.9870676939        0        0.9870676939      0
    0.78          0.25        0.9869618095        0        0.9869618095      0
    0.79          0.25        0.9868541778        0        0.9868541778      0
    0.8           0.25        0.9867447554        0        0.9867447554      0
    0.81          0.25        0.9866334971        0        0.9866334971      0
    0.82          0.25        0.9865203565        0        0.9865203565      0
    0.83          0.25        0.9864052853        0        0.9864052853      0
    0.84          0.25        0.9862882338        0        0.9862882338      0
    0.85          0.25        0.9861691504        0        0.9861691504      0
    0.86          0.25        0.9860479818        0        0.9860479818      0
    0.87          0.25        0.9859246728        0        0.9859246728      0
    0.88          0.25        0.9857991662        0        0.9857991662      0
    0.89          0.25        0.9856714028        0        0.9856714028      0
    0.9           0.25        0.9855413211        0        0.9855413211      0
    0.91          0.25        0.9854088576        0        0.9854088576      0
    0.92          0.25        0.9852739462        0        0.9852739462      0
    0.93          0.25        0.9851365186        0        0.9851365186      0
    0.94          0.25        0.9849965037        0        0.9849965037      0
    0.95          0.25        0.9848538278        0        0.9848538278      0
    0.96          0.25        0.9847084144        0        0.9847084144      0
    0.97          0.25        0.9845601841        0        0.9845601841      0
    0.98          0.25        0.9844090542        0        0.9844090542      0
    0.99          0.25        0.9842549388        0        0.9842549388      0
    1             0.25        0.9840977487        0        0.9840977487      0
    1.01          0.25        0.9839373911        0        0.9839373911      0
    1.02          0.25        0.9837737693        0        0.9837737693      0
    1.03          0.25        0.9836067827        0        0.9836067827      0
    1.04          0.25        0.9834363266        0        0.9834363266      0
    1.05          0.25        0.9832622916        0        0.9832622916      0
    1.06          0.25        0.9830845642        0        0.9830845642      0
    1.07          0.25        0.9829030256        0        0.9829030256      0
    1.08          0.25        0.9827175519        0        0.9827175519      0
    1.09          0.25        0.9825280141        0        0.9825280141      0
    1.1           0.25        0.9823342771        0        0.9823342771      0
    1.11          0.25        0.9821362           0        0.9821362         0
